,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
20800,1150805912791370961,https://www.airbnb.com/rooms/1150805912791370961,20250319150644,2025-03-20,city scrape,"Blueground | Amueblado, Security & Business Center","Discover the best of Mexico City, with this one bedroom apartment in Colonia Cuauhtémoc. . It’ll be easy to simply show up and start living in this elegantly Blueground furnished apartment with its fully-equipped kitchen, charming living room, and our dedicated, on-the-ground support. (ID #MEX266)",,https://a0.muscache.com/pictures/prohost-api/Hosting-1150805912791370961/original/f0de5dd3-6312-429b-9fb8-6c655a9785d7.jpeg,498701635,https://www.airbnb.com/users/show/498701635,Blueground,2023-01-30,,"Somos Blueground, una empresa internacional de proptech con varios miles de apartamentos listos para mudarse en un número creciente de ciudades importantes de todo el mundo. Con condiciones flexibles y alojamientos en barrios vibrantes y céntricos, te sentirás como en casa y podrás recorrer todo el tiempo que quieras: un mes, un año o más.",within an hour,99%,99%,f,https://a0.muscache.com/im/pictures/user/fc7c3554-12df-4927-a8b8-77358e031347.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fc7c3554-12df-4927-a8b8-77358e031347.jpg?aki_policy=profile_x_medium,Polanco,243.0,253.0,"['email', 'phone']",t,t,,Cuauhtémoc,,19.4328484,-99.1661571,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hangers"", ""Hair dryer"", ""Microwave"", ""Cooking basics"", ""Air conditioning"", ""Self check-in"", ""Wifi"", ""Elevator"", ""Lockbox"", ""Kitchen"", ""Hot water"", ""Patio or balcony"", ""Iron"", ""High chair"", ""Shampoo"", ""Backyard"", ""Refrigerator"", ""Crib"", ""Long term stays allowed"", ""Essentials"", ""Bed linens"", ""Private entrance"", ""TV""]","$1,125.00",30,1125,2,2,1125,1125,2.0,1125.0,,t,13,43,73,348,2025-03-20,17,17,0,270,15,255,286875.0,2024-05-27,2025-01-25,4.59,4.53,4.65,4.65,4.12,4.76,4.41,,t,242,242,0,0,1.71
21000,1158142510161736300,https://www.airbnb.com/rooms/1158142510161736300,20250319150644,2025-03-20,city scrape,*Condesa* Charming & spacious apartment A*,"Discover our exceptional 3-bedroom Airbnb in the heart of CDMX. Located on one of the most emblematic streets in the neighborhood. Immerse yourself in stylish decor, enjoy the city's best location, and be mesmerized by breathtaking views. Ideal for a memorable getaway, our luxury sanctuary offers a vibrant experience in Mexico City's bustling cultural hub.",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE1ODE0MjUxMDE2MTczNjMwMA%3D%3D/original/af6992a0-be57-41a0-99d3-05cc4f6ceb09.png,8905097,https://www.airbnb.com/users/show/8905097,Condesa Local,2013-09-17,"Mexico City, Mexico",Luxury properties with tailored services.,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User/original/c6f3da87-89d3-46bc-a69f-979e805b453a.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/c6f3da87-89d3-46bc-a69f-979e805b453a.jpeg?aki_policy=profile_x_medium,Condesa,32.0,54.0,"['email', 'phone']",t,t,,Cuauhtémoc,,19.412061648713845,-99.17197235231852,Entire rental unit,Entire home/apt,8,2.0,2 baths,3.0,4.0,"[""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Free parking on premises \u2013 1 space"", ""Host greets you"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Toaster"", ""Kitchen"", ""Hot water"", ""Iron"", ""Dining table"", ""Clothing storage: closet"", ""Body soap"", ""Paid street parking off premises"", ""Shampoo"", ""Stove"", ""Crib - available upon request"", ""Refrigerator"", ""Dedicated workspace"", ""Blender"", ""Oven"", ""Conditioner"", ""Coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Bed linens"", ""Portable fans"", ""Coffee"", ""Private entrance"", ""TV""]","$2,688.00",3,730,1,3,730,730,3.0,730.0,,t,17,40,70,70,2025-03-20,2,2,1,70,1,12,32256.0,2024-11-26,2025-03-10,4.0,3.5,5.0,5.0,5.0,5.0,3.5,,f,22,22,0,0,0.52
21200,1169211807711738088,https://www.airbnb.com/rooms/1169211807711738088,20250319150644,2025-03-21,city scrape,Cómodo y lindo departamento,,,https://a0.muscache.com/pictures/miso/Hosting-1169211807711738088/original/fc57d96a-d8c1-46a3-8853-3cbe1ab31e49.jpeg,580828568,https://www.airbnb.com/users/show/580828568,Graciela,2024-06-01,,,,,0%,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,Si,1.0,1.0,['phone'],f,t,,Cuauhtémoc,,19.4497,-99.13628,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Wifi"", ""Free parking on premises"", ""Kitchen"", ""Washer"", ""Smoking allowed"", ""Dedicated workspace""]",$600.00,1,30,1,1,30,30,1.0,30.0,,,23,53,83,83,2025-03-21,0,0,0,83,0,0,0.0,,,,,,,,,,,f,1,1,0,0,
21400,1178189254362444246,https://www.airbnb.com/rooms/1178189254362444246,20250319150644,2025-03-20,city scrape,Industrial luxury apt with AC,"Super spacious apartment on the best park of the city. Surround yourself with lots of plants, light and peace in this luxury gem two-level flat. Super equipped with AC in the main king size bedroom, designer furniture and an indoor terrace. I’m sharing my home only with guests who appreciate quality and take care of it as if it was their own. Enjoy a peaceful stay at one of the best boutique apartment buildings around.",,https://a0.muscache.com/pictures/hosting/Hosting-1178189254362444246/original/c2519594-eec6-4245-9a0c-728021c733b3.jpeg,40034812,https://www.airbnb.com/users/show/40034812,Miguel,2015-07-30,"Mexico City, Mexico",Finance profesional who loves to travel with family and friends.,within a few hours,100%,80%,f,https://a0.muscache.com/im/pictures/user/User-40034812/original/346da7ce-f7cd-4e93-b3a0-f1c57cd8e4f2.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-40034812/original/346da7ce-f7cd-4e93-b3a0-f1c57cd8e4f2.jpeg?aki_policy=profile_x_medium,Hipodromo,1.0,3.0,"['email', 'phone', 'work_email']",t,t,,Cuauhtémoc,,19.41329896104029,-99.1698557138443,Entire rental unit,Entire home/apt,4,2.5,2.5 baths,2.0,2.0,"[""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Free parking on premises"", ""Arcade games"", ""Air conditioning"", ""Smoke alarm"", ""Dishwasher"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Books and reading material"", ""Iron"", ""Private backyard \u2013 Fully fenced"", ""Body soap"", ""Board games"", ""Sound system"", ""Washer"", ""Housekeeping - available at extra cost"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Blender"", ""Oven"", ""Carbon monoxide alarm"", ""Dryer"", ""Dishes and silverware"", ""Coffee maker: espresso machine, Nespresso"", ""TV""]","$5,902.00",3,25,3,3,25,25,3.0,25.0,,t,0,14,44,220,2025-03-20,7,7,0,220,6,42,247884.0,2024-06-25,2025-02-15,5.0,5.0,5.0,5.0,5.0,5.0,4.71,,f,1,1,0,0,0.78
21600,1188633793178567327,https://www.airbnb.com/rooms/1188633793178567327,20250319150644,2025-03-22,city scrape,Sorprendente depa 1 cuarto 1 baño en Nuevo Polanco,"We have a privileged location with nearby supermarkets such as City Market, Superama, and Costco. Additionally, the area offers high-quality dining options and is surrounded by shopping centers like Antara Fashion Hall, Plaza Carso, and Miyana. <br />Nuevo Polanco offers a unique combination of culture, entertainment, and gastronomy in a trendy setting. And the best part is that you can satisfy any need within walking distance, as everything is conveniently close by.",,https://a0.muscache.com/pictures/miso/Hosting-1188633793178567327/original/4d3fc087-6607-419d-9300-624ab4c4e252.jpeg,94889950,https://www.airbnb.com/users/show/94889950,Chris,2016-09-13,"Mexico City, Mexico",Quiero que su experiencia en cualquier de nuestros departamentos sea lo más placentera.,,,,f,https://a0.muscache.com/im/pictures/user/e75e8387-8618-4ff4-8471-f4d006cf8a6a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e75e8387-8618-4ff4-8471-f4d006cf8a6a.jpg?aki_policy=profile_x_medium,,67.0,73.0,"['email', 'phone']",t,t,,Miguel Hidalgo,,19.44465164062855,-99.2019340325272,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Gym"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Clothing storage"", ""Coffee"", ""Lockbox"", ""Fire extinguisher"", ""Kitchen"", ""Exercise equipment"", ""Hot water"", ""Outdoor playground"", ""Iron"", ""Room-darkening shades"", ""Dining table"", ""Sun loungers"", ""Cleaning products"", ""Free parking garage on premises"", ""Body soap"", ""Shampoo"", ""Shower gel"", ""Stove"", ""Refrigerator"", ""Freezer"", ""Dedicated workspace"", ""Laundromat nearby"", ""Exterior security cameras on property"", ""Blender"", ""Pool"", ""Oven"", ""Coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Movie theater"", ""Essentials"", ""Bed linens"", ""Portable fans"", ""BBQ grill"", ""First aid kit"", ""Private entrance"", ""TV"", ""Single level home""]","$1,062.00",2,31,2,2,1125,1125,2.0,1125.0,,t,19,49,79,79,2025-03-22,20,20,0,79,15,120,127440.0,2024-07-08,2025-02-11,4.8,4.9,5.0,4.95,4.75,4.95,4.65,,f,30,30,0,0,2.33
21800,1196477319925371284,https://www.airbnb.com/rooms/1196477319925371284,20250319150644,2025-03-21,city scrape,Urban Comfort with Luxury Amenities,"Enjoy a unique experience in this central apartment, located in the heart of San Pedro de Los Pinos.<br /><br />✔ King Size Bed<br />✔ Air conditioning<br />✔ Washing machine<br />✔ 24 hour surveillance<br />✔ Near the San Antonio or San Pedro de los Pinos metro<br /><br />You will be located in the favorite neighborhood for locals and travelers for its cultural offer and strategic location to travel to all the most iconic sites in the city.","San Pedro de los Pinos is a charming neighborhood located in Mexico City that combines residential tranquility with urban convenience. Its tree-lined streets and cozy squares offer a respite from the bustle of the city, while its excellent connectivity allows you to easily access the city's main attractions. With a rich history and a family atmosphere, San Pedro de los Pinos is perfect for those looking for a comfortable and authentic stay in the Mexican capital.<br /><br />This neighborhood stands out for its variety of local businesses, restaurants and traditional markets, where you can enjoy Mexican cuisine and immerse yourself in local culture. In addition, its strategic location facilitates access to various points of tourist and cultural interest, making San Pedro de los Pinos an ideal base for exploring Mexico City.<br /><br />Distances by car:<br /><br />Historic Center: 20 minutes<br />Angel of Independence: 15 minutes<br />Chapultepec Forest: 10 minutes<br />WTC: 5 minutes<br",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE5NjQ3NzMxOTkyNTM3MTI4NA%3D%3D/original/051b2be9-033a-4811-9e20-3a9607ecb67b.jpeg,333035396,https://www.airbnb.com/users/show/333035396,Clau,2020-02-02,"Mexico City, Mexico","Soy una anfitriona profesional, y estoy comprometida a ofrecer a mis huéspedes una experiencia excepcional durante su estancia. 

Como viajera frecuente, sé lo importante que es sentirse bienvenido y cómodo en un lugar nuevo, y por eso me esfuerzo por brindar el mismo nivel de servicio que yo misma espero cuando viajo. 

¡Espero tener la oportunidad de alojarlos pronto!",,,100%,f,https://a0.muscache.com/im/pictures/user/987ff280-b738-4912-b6f0-3dd5b290188d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/987ff280-b738-4912-b6f0-3dd5b290188d.jpg?aki_policy=profile_x_medium,,175.0,203.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Álvaro Obregón,,19.38874,-99.19546,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Wine glasses"", ""Hair dryer"", ""Cooking basics"", ""Microwave"", ""Free parking on premises"", ""Air conditioning"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Clothing storage"", ""Kitchen"", ""Hot water"", ""Iron"", ""Room-darkening shades"", ""Building staff"", ""Other stove"", ""Washer"", ""Refrigerator"", ""Crib"", ""Blender"", ""Carbon monoxide alarm"", ""Essentials"", ""TV"", ""Noise decibel monitors on property""]","$1,491.00",3,365,1,2,365,365,1.3,365.0,,t,21,47,77,257,2025-03-21,32,32,3,257,24,192,286272.0,2024-07-13,2025-03-04,4.72,4.81,4.59,4.41,4.47,4.56,4.63,,f,151,150,1,0,3.81
22000,1204385793817174581,https://www.airbnb.com/rooms/1204385793817174581,20250319150644,2025-03-20,city scrape,Radiant Rooftop 2BR in Central Condesa w AC & Pool,"You will be staying in one of the few Air Conditioned apartments that is perfectly located in Central Condesa. The flat is spacious and well lit with floor to ceiling windows and stylishly furnished. The Rooftop has a Heated Infinity Pool, a Lounge and Deck with majestic 360 views of Mexico City. The building has 24/7 Security personnel and a well equipped Gym. We pride ourselves in providing the best service for all our travelers and delivering you a wonderful experience.",,https://a0.muscache.com/pictures/prohost-api/Hosting-1204385793817174581/original/3bd672ed-553f-4f61-a710-7c6abf38a286.jpeg,530494363,https://www.airbnb.com/users/show/530494363,David Gabriel,2023-08-07,,,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-530494363/original/22ae85e2-c148-4371-9d9e-91b8ad1ca17f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-530494363/original/22ae85e2-c148-4371-9d9e-91b8ad1ca17f.jpeg?aki_policy=profile_x_medium,Polanco ,6.0,6.0,"['email', 'phone']",t,t,,Cuauhtémoc,,19.41044267611891,-99.1677345460327,Entire rental unit,Entire home/apt,5,2.0,2 baths,2.0,3.0,"[""Wine glasses"", ""Portable heater"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Free parking on premises"", ""Air conditioning"", ""Extra pillows and blankets"", ""Pool table"", ""Self check-in"", ""Smoke alarm"", ""Coffee maker: french press"", ""Wifi"", ""Shared sauna"", ""Elevator"", ""Stainless steel oven"", ""Pack \u2019n play/Travel crib - available upon request"", ""Shared gym in building"", ""Toaster"", ""Coffee"", ""Lockbox"", ""Fire extinguisher"", ""Kitchen"", ""Outdoor furniture"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Exercise equipment"", ""Hot water"", ""Iron"", ""Room-darkening shades"", ""Dining table"", ""Sun loungers"", ""Private outdoor pool - available all year, open specific hours, heated, infinity, lap pool, rooftop"", ""Body soap"", ""Board games"", ""Paid street parking off premises"", ""Free dryer \u2013 In unit"", ""Ethernet connection"", ""Hot water kettle"", ""Shampoo"", ""Washer"", ""Stove"", ""Crib - available upon request"", ""Refrigerator"", ""Freezer"", ""Outdoor dining area"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Blender"", ""Life size games"", ""Conditioner"", ""Drying rack for clothing"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""Portable fans"", ""First aid kit"", ""TV""]","$3,280.00",1,365,1,1,365,365,1.0,365.0,,t,3,10,17,232,2025-03-20,36,36,4,168,24,216,708480.0,2024-08-21,2025-03-17,4.89,4.94,4.83,4.94,4.94,4.89,4.89,,t,6,6,0,0,5.09
22200,1218892951558951103,https://www.airbnb.com/rooms/1218892951558951103,20250319150644,2025-03-22,city scrape,Depa increíble excelente ubicación,"Depa bonito near the historic center of CDMX and surroundings, ideal if you come for work or have fun as a family! It has all the services! Located 10 minutes by car from the historic center, 15 min from Rome, commercial plazas, metro San Antonio Abad. You have access to a small play room area, a work area that you can occupy within the building. The depa has pots, microwave,iron,coffee maker,refrigerator,tableware,cutlery,towels,everything you need for your stay.",,https://a0.muscache.com/pictures/hosting/Hosting-1218892951558951103/original/0e45d7e5-8bfb-4e07-b7ae-68c67b0f1354.jpeg,593192801,https://www.airbnb.com/users/show/593192801,Andrea,2024-07-30,,,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/209ffb68-e387-4f25-bc3b-ce1ed6160261.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/209ffb68-e387-4f25-bc3b-ce1ed6160261.jpeg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,,Cuauhtémoc,,19.419885256142543,-99.1336988657713,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Pocket wifi"", ""Cooking basics"", ""Pets allowed"", ""Microwave"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Free parking garage on premises \u2013 1 space"", ""Clothing storage"", ""Coffee"", ""Fire extinguisher"", ""Kitchen"", ""Hot water"", ""Patio or balcony"", ""Iron"", ""Room-darkening shades"", ""City skyline view"", ""Stove"", ""Refrigerator"", ""Freezer"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Blender"", ""Oven"", ""Drying rack for clothing"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Keypad"", ""Essentials"", ""Bed linens"", ""First aid kit"", ""Private entrance"", ""TV""]","$1,067.00",1,365,1,1,365,365,1.0,365.0,,t,25,55,85,174,2025-03-22,22,22,5,174,15,132,140844.0,2024-08-11,2025-03-19,4.73,4.86,4.77,4.86,4.95,4.64,4.68,,f,1,1,0,0,2.95
22400,1224047207355445813,https://www.airbnb.com/rooms/1224047207355445813,20250319150644,2025-03-20,city scrape,Grand Chapultepec by Kukun,"Stay in one of our fully furnished luxury apartments, just blocks from Av Paseo de la Reforma and very close to Chapultepec Park. Enjoy the comfort and elegance of our accommodations while exploring one of the most emblematic and central areas of the city.","Located between Mexico City's downtown and el Bosque de Chapultepec, just south of Paseo de la Reforma, this neighborhood serves as a significant commercial and financial hub in Mexico. Evolving since its establishment in the early 20th century, it continues to thrive and grow.",https://a0.muscache.com/pictures/prohost-api/Hosting-1224047207355445813/original/0556cd28-10c3-43be-bece-560f423f3d53.jpeg,578677612,https://www.airbnb.com/users/show/578677612,Ismael,2024-05-20,"Mexico City, Mexico","We transform traditional apartments into Kukuns to create unique lodgings. Where you will enjoy all the comforts of a hotel plus a local experience.
 
In each Kukun you will find an incredible design inspired by the most original elements of Mexican culture, premium amenities, and everything you need to enjoy traveling like never before. 
 
We can't wait to welcome you!",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User/original/98276ec7-16ba-4829-b96c-133247bf209a.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/98276ec7-16ba-4829-b96c-133247bf209a.jpeg?aki_policy=profile_x_medium,,5.0,5.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,,19.4249007,-99.1754023,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Pets allowed"", ""Exercise equipment: elliptical, stationary bike, treadmill"", ""Extra pillows and blankets"", ""Self check-in"", ""Wifi"", ""Elevator"", ""Shared gym in building"", ""Pack \u2019n play/Travel crib - available upon request"", ""Toaster"", ""Yucatan Senses-Organic conditioner"", ""Kitchen"", ""Luggage dropoff allowed"", ""Hot water"", ""Dryer \u2013 In building"", ""Iron"", ""Room-darkening shades"", ""Dining table"", ""Building staff"", ""Clothing storage: closet"", ""Cleaning products"", ""Safe"", ""Yucatan Senses-Organic body soap"", ""Hot water kettle"", ""City skyline view"", ""Shower gel"", ""Crib - available upon request"", ""Refrigerator"", ""Freezer"", ""Stove"", ""Dedicated workspace"", ""Washer \u2013\u00a0In building"", ""Yucatan Senses-Organic shampoo"", ""Blender"", ""Oven"", ""Coffee maker"", ""Long term stays allowed"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""Portable fans"", ""Central air conditioning"", ""Coffee"", ""TV"", ""Single level home""]","$1,751.00",1,365,1,1,365,365,1.0,365.0,,t,28,58,88,363,2025-03-20,40,40,3,285,18,240,420240.0,2024-08-22,2025-03-08,4.58,4.73,4.58,4.95,4.95,4.78,4.65,,t,5,5,0,0,5.69
22600,1232985480873549490,https://www.airbnb.com/rooms/1232985480873549490,20250319150644,2025-03-20,city scrape,Comfort & Style: Central Roma Norte for 4 | Cib,"Discover your ideal home in Roma Norte! This stylish new 2 bedroom/2 bath apartment offers a cozy living room, modern dining room, and a private terrace. Enjoy 120 Mbps internet and Netflix for your entertainment. Only 10 minutes from Parque México, with accessible transportation options in a quiet and safe area. Perfect place to relax and explore the vibrant Roma Norte colony!",,https://a0.muscache.com/pictures/airflow/Hosting-1232985480873549490/original/a779ada0-55a8-4abe-83da-5d61c2ff9197.jpg,245618000,https://www.airbnb.com/users/show/245618000,Alejandra,2019-02-26,"Mexico City, Mexico",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-245618000/original/30da078d-a361-42af-a131-aba0d36bd82d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-245618000/original/30da078d-a361-42af-a131-aba0d36bd82d.jpeg?aki_policy=profile_x_medium,,119.0,121.0,"['email', 'phone']",t,t,,Cuauhtémoc,,19.412535,-99.1633633,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Wine glasses"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Coffee maker: pour-over coffee"", ""Extra pillows and blankets"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Clothing storage"", ""Toaster"", ""Kitchen"", ""Hot water"", ""Patio or balcony"", ""Iron"", ""Dining table"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Washer"", ""Stove"", ""Refrigerator"", ""Crib"", ""Freezer"", ""Outdoor dining area"", ""Blender"", ""Oven"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Keypad"", ""Essentials"", ""Bed linens"", ""Portable fans"", ""Central air conditioning"", ""Coffee"", ""TV""]","$2,380.00",1,30,1,1,1125,1125,1.0,1125.0,,t,1,12,35,122,2025-03-20,32,32,4,122,22,192,456960.0,2024-09-01,2025-03-08,4.81,4.91,4.94,4.97,5.0,4.91,4.78,,f,112,93,19,0,4.78
22800,1242301783037496768,https://www.airbnb.com/rooms/1242301783037496768,20250319150644,2025-03-20,city scrape,Sunny Room in Heart of Condesa,"Experience the tranquility of our lovely house in the heart of Condesa. Our space is incredibly spacious featuring 2 floors filled with light & a very special indoor garden. The house has 3 bedrooms and you will be sharing the common areas with other amazing people.<br /><br />We are located on a quiet street just a 5-minute stroll from amazing restaurants, coffee shops, and supermarket, and only a 10-minute walk from Parque Mexico & España. We have a rooftop, perfect to watch the sunset, yoga & BBQ.",,https://a0.muscache.com/pictures/miso/Hosting-1175970014046994785/original/b6370e70-d300-4004-b06c-781b8c7e5eea.jpeg,13097902,https://www.airbnb.com/users/show/13097902,Bruna,2014-03-13,"New York, NY",,within a day,100%,25%,f,https://a0.muscache.com/im/pictures/user/6d572284-13b7-4d60-98b0-ffa77561adbc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6d572284-13b7-4d60-98b0-ffa77561adbc.jpg?aki_policy=profile_x_medium,Condesa,4.0,6.0,"['email', 'phone', 'work_email']",t,t,,Cuauhtémoc,,19.409513355963224,-99.17918893657286,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Wifi"", ""Self check-in"", ""Free parking on premises"", ""Lock on bedroom door"", ""Kitchen"", ""Lockbox"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Indoor fireplace"", ""Dedicated workspace"", ""Smoke alarm""]",$878.00,3,90,3,3,90,90,3.0,90.0,,t,29,48,66,66,2025-03-20,0,0,0,66,0,0,0.0,,,,,,,,,,,f,4,1,3,0,
23000,1249528317043826582,https://www.airbnb.com/rooms/1249528317043826582,20250319150644,2025-03-20,previous scrape,"huéspedes zona sur,",Relax with the whole family at this place where tranquility is breathable.,,https://a0.muscache.com/pictures/hosting/Hosting-1249528317043826582/original/c89a3fd2-7e41-44be-99d9-d04da628167b.jpeg,596224948,https://www.airbnb.com/users/show/596224948,Vega Campos,2024-08-14,"Mexico City, Mexico",que rollo con ese pollo,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User/original/5820e3f1-52ea-415a-9f24-4acc84c062ac.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/5820e3f1-52ea-415a-9f24-4acc84c062ac.jpeg?aki_policy=profile_x_medium,,2.0,5.0,['phone'],t,t,,Tlalpan,,19.30399,-99.22055,Private room in guesthouse,Private room,3,,1 private bath,1.0,,"[""Wifi"", ""Free parking on premises"", ""Fire extinguisher"", ""Kitchen"", ""Washer"", ""First aid kit"", ""TV""]",,1,1125,1,1,1125,1125,1.0,1125.0,,t,30,60,90,90,2025-03-20,5,5,0,90,3,30,,2024-10-26,2025-02-11,4.8,4.8,4.8,5.0,5.0,5.0,4.8,,f,1,0,1,0,1.03
23200,1259633106507861475,https://www.airbnb.com/rooms/1259633106507861475,20250319150644,2025-03-22,city scrape,Habitación confortable y cerca,Enjoy easy access to everything from this perfectly located home.,,https://a0.muscache.com/pictures/hosting/Hosting-1259633106507861475/original/e0a69f58-1e49-44bc-98a0-1a6df5b5d8b9.jpeg,368484187,https://www.airbnb.com/users/show/368484187,Gerardo,2020-09-20,"Mexico City, Mexico",,within an hour,100%,91%,f,https://a0.muscache.com/im/pictures/user/bb870826-bc44-4133-96c1-705438dbb12c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bb870826-bc44-4133-96c1-705438dbb12c.jpg?aki_policy=profile_x_medium,Plan sexenal ,13.0,16.0,['phone'],t,t,,Miguel Hidalgo,,19.451807717271507,-99.17120686456508,Private room in guesthouse,Private room,1,4.0,4 baths,1.0,1.0,"[""Wifi""]","$1,539.00",1,365,1,1,365,365,1.0,365.0,,t,30,60,90,364,2025-03-22,1,1,0,285,1,6,9234.0,2024-10-27,2024-10-27,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,t,11,0,11,0,0.2
